Supermercado,Producto,Precio,URL
coto,Gaseosa SCHWEPPES Tónica 310 Ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-schweppes-t%C3%B3nica-310-ml/_/R-00490190-00490190-200%3F
coto,Gaseosa Cola Zero COCA COLA 237ml,"$720,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-cola-zero-coca-cola-237ml/_/R-00539908-00539908-200%3F
coto,SPRITE Zero Lima-Limón 500 Ml,"$1.499,94",https://www.cotodigital.com.ar/sitios/cdigi/productos/sprite-zero-lima-lim%C3%B3n-500-ml/_/R-00124851-00124851-200%3F
coto,Gaseosa Cola PEPSI 1500cc,"$2.137,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-cola-pepsi-1500cc/_/R-00572314-00572314-200%3F
coto,Gaseosa Cola Original Coca Cola 237 Ml,"$720,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-cola-original-coca-cola-237-ml/_/R-00539896-00539896-200%3F
coto,"Gaseosa Coca-Cola Zero 1,75l","$2.242,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-coca-cola-zero-1-75l/_/R-00478989-00478989-200%3F
coto,Gaseosa Ginger Ale Schweppes 310ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-ginger-ale-schweppes-310ml/_/R-00580688-00580688-200%3F
coto,Gaseosa Naranja Fanta 237 Ml,"$720,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-naranja-fanta-237-ml/_/R-00539897-00539897-200%3F
coto,Gaseosa Tónica Zero Schweppes 1.5l,"$2.242,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-t%C3%B3nica-zero-schweppes-1-5l/_/R-00599476-00599476-200%3F
coto,"Gaseosa SCHWEPPES Tónica 1,5 Lt","$2.242,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-schweppes-t%C3%B3nica-1-5-lt/_/R-00014398-00014398-200%3F
coto,Gaseosa Light Pomelo Paso De L.T Pet 1500 Cmq,"$1.795,10",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-light-pomelo-paso-de-l-t-pet-1500-cmq/_/R-00035562-00035562-200%3F
coto,Gaseosa Tonica Limon SCHWEPPES 310ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-tonica-limon-schweppes-310ml/_/R-00580687-00580687-200%3F
coto,Coca-Cola Sabor Liviano 500 Ml,"$1.499,94",https://www.cotodigital.com.ar/sitios/cdigi/productos/coca-cola-sabor-liviano-500-ml/_/R-00008141-00008141-200%3F
coto,Gaseosa PASO DE LOS TOROS  Tónica Botella 1.5 L,"$1.795,10",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-paso-de-los-toros-t%C3%B3nica-botella-1-5-l-/_/R-00010354-00010354-200%3F
coto,Gaseosa PASO DE LOS TOROS  Pomelo Botella 1.5 L,"$1.795,10",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-paso-de-los-toros-pomelo-botella-1-5-l-/_/R-00010371-00010371-200%3F
coto,Gaseosa Lima Limon Seven Up 1500cc,"$2.070,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-lima-limon-seven-up-1500cc/_/R-00572312-00572312-200%3F
coto,Gaseosa PEPSI    Botella 500 Cc,"$1.042,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-pepsi-botella-500-cc-/_/R-00018875-00018875-200%3F
coto,Gaseosa Coca-Cola Sabor Original 354 Ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-coca-cola-sabor-original-354-ml/_/R-00003750-00003750-200%3F
coto,Gaseosa SEVEN UP    Botella 2.25 L,"$3.000,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-seven-up-botella-2-25-l-/_/R-00062020-00062020-200%3F
coto,"Gaseosa FANTA Pomelo 1,75 Lt","$2.242,50",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-fanta-pomelo-1-75-lt/_/R-00532314-00532314-200%3F
coto,Gaseosa Coca-Cola Zero 354 Ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-coca-cola-zero-354-ml/_/R-00179844-00179844-200%3F
coto,Gaseosa FANTA Naranja 500 Ml,"$1.499,94",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-fanta-naranja-500-ml/_/R-00526585-00526585-200%3F
coto,Gaseosa Lima Limón Free Seven Up 354 Cmq,"$1.155,00",https://www.cotodigital.com.ar/sitios/cdigi/productos/gaseosa-lima-lim%C3%B3n-free-seven-up-354-cmq/_/R-00169637-00169637-200%3F
coto,FANTA Zero Naranja 354 Ml,"$1.200,06",https://www.cotodigital.com.ar/sitios/cdigi/productos/fanta-zero-naranja-354-ml/_/R-00542757-00542757-200%3F
